,term,value
632,desired,2
633,desirous,2
634,despair,-3
635,despairing,-3
636,despairs,-3
637,desperate,-3
638,desperately,-3
639,despondent,-3
640,destroy,-3
641,destroyed,-3
642,destroying,-3
643,destroys,-3
644,destruction,-3
645,destructive,-3
646,detached,-1
647,detain,-2
648,detained,-2
649,detention,-2
650,determined,2
651,devastate,-2
652,devastated,-2
653,devastating,-2
654,devoted,3
655,diamond,1
656,dick,-4
657,dickhead,-4
658,die,-3
659,died,-3
660,difficult,-1
661,diffident,-2
662,dilemma,-1
663,dipshit,-3
664,dire,-3
665,direful,-3
666,dirt,-2
667,dirtier,-2
668,dirtiest,-2
669,dirty,-2
670,disabling,-1
671,disadvantage,-2
672,disadvantaged,-2
673,disappear,-1
674,disappeared,-1
675,disappears,-1
676,disappoint,-2
677,disappointed,-2
678,disappointing,-2
679,disappointment,-2
680,disappointments,-2
681,disappoints,-2
682,disaster,-2
683,disasters,-2
684,disastrous,-3
685,disbelieve,-2
686,discard,-1
687,discarded,-1
688,discarding,-1
689,discards,-1
690,disconsolate,-2
691,disconsolation,-2
692,discontented,-2
693,discord,-2
694,discounted,-1
695,discouraged,-2
696,discredited,-2
697,disdain,-2
698,disgrace,-2
699,disgraced,-2
700,disguise,-1
701,disguised,-1
702,disguises,-1
703,disguising,-1
704,disgust,-3
705,disgusted,-3
706,disgusting,-3
707,disheartened,-2
708,dishonest,-2
709,disillusioned,-2
710,disinclined,-2
711,disjointed,-2
712,dislike,-2
713,dismal,-2
714,dismayed,-2
715,disorder,-2
716,disorganized,-2
717,disoriented,-2
718,disparage,-2
719,disparaged,-2
720,disparages,-2
721,disparaging,-2
722,displeased,-2
723,dispute,-2
724,disputed,-2
725,disputes,-2
726,disputing,-2
727,disqualified,-2
728,disquiet,-2
729,disregard,-2
730,disregarded,-2
731,disregarding,-2
732,disregards,-2
733,disrespect,-2
734,disrespected,-2
735,disruption,-2
736,disruptions,-2
737,disruptive,-2
738,dissatisfied,-2
739,distort,-2
740,distorted,-2
741,distorting,-2
742,distorts,-2
743,distract,-2
744,distracted,-2
745,distraction,-2
746,distracts,-2
747,distress,-2
748,distressed,-2
749,distresses,-2
750,distressing,-2
751,distrust,-3
752,distrustful,-3
753,disturb,-2
754,disturbed,-2
755,disturbing,-2
756,disturbs,-2
757,dithering,-2
758,dizzy,-1
759,dodging,-2
760,dodgy,-2
761,does not work,-3
762,dolorous,-2
763,dont like,-2
764,doom,-2
765,doomed,-2
766,doubt,-1
767,doubted,-1
768,doubtful,-1
769,doubting,-1
770,doubts,-1
771,douche,-3
772,douchebag,-3
773,downcast,-2
774,downhearted,-2
775,downside,-2
776,drag,-1
777,dragged,-1
778,drags,-1
779,drained,-2
780,dread,-2
781,dreaded,-2
782,dreadful,-3
783,dreading,-2
784,dream,1
785,dreams,1
786,dreary,-2
787,droopy,-2
788,drop,-1
789,drown,-2
790,drowned,-2
791,drowns,-2
792,drunk,-2
793,dubious,-2
794,dud,-2
795,dull,-2
796,dumb,-3
797,dumbass,-3
798,dump,-1
799,dumped,-2
800,dumps,-1
801,dupe,-2
802,duped,-2
803,dysfunction,-2
804,eager,2
805,earnest,2
806,ease,2
807,easy,1
808,ecstatic,4
809,eerie,-2
810,eery,-2
811,effective,2
812,effectively,2
813,elated,3
814,elation,3
815,elegant,2
816,elegantly,2
817,embarrass,-2
818,embarrassed,-2
819,embarrasses,-2
820,embarrassing,-2
821,embarrassment,-2
822,embittered,-2
823,embrace,1
824,emergency,-2
825,empathetic,2
826,emptiness,-1
827,empty,-1
828,enchanted,2
829,encourage,2
830,encouraged,2
831,encouragement,2
832,encourages,2
833,endorse,2
834,endorsed,2
835,endorsement,2
836,endorses,2
837,enemies,-2
838,enemy,-2
839,energetic,2
840,engage,1
841,engages,1
842,engrossed,1
843,enjoy,2
844,enjoying,2
845,enjoys,2
846,enlighten,2
847,enlightened,2
848,enlightening,2
849,enlightens,2
850,ennui,-2
851,enrage,-2
852,enraged,-2
853,enrages,-2
854,enraging,-2
855,enrapture,3
856,enslave,-2
857,enslaved,-2
858,enslaves,-2
859,ensure,1
860,ensuring,1
861,enterprising,1
862,entertaining,2
863,enthral,3
864,enthusiastic,3
865,entitled,1
866,entrusted,2
867,envies,-1
868,envious,-2
869,envy,-1
870,envying,-1
871,erroneous,-2
872,error,-2
873,errors,-2
874,escape,-1
875,escapes,-1
876,escaping,-1
877,esteemed,2
878,ethical,2
879,euphoria,3
880,euphoric,4
881,eviction,-1
882,evil,-3
883,exaggerate,-2
884,exaggerated,-2
885,exaggerates,-2
886,exaggerating,-2
887,exasperated,2
888,excellence,3
889,excellent,3
890,excite,3
891,excited,3
892,excitement,3
893,exciting,3
894,exclude,-1
895,excluded,-2
896,exclusion,-1
897,exclusive,2
898,excuse,-1
899,exempt,-1
900,exhausted,-2
901,exhilarated,3
902,exhilarates,3
903,exhilarating,3
904,exonerate,2
905,exonerated,2
906,exonerates,2
907,exonerating,2
908,expand,1
909,expands,1
910,expel,-2
911,expelled,-2
912,expelling,-2
913,expels,-2
914,exploit,-2
915,exploited,-2
916,exploiting,-2
917,exploits,-2
918,exploration,1
919,explorations,1
920,expose,-1
921,exposed,-1
922,exposes,-1
923,exposing,-1
924,extend,1
925,extends,1
926,exuberant,4
927,exultant,3
928,exultantly,3
929,fabulous,4
930,fad,-2
931,fag,-3
932,faggot,-3
933,faggots,-3
934,fail,-2
935,failed,-2
936,failing,-2
937,fails,-2
938,failure,-2
939,failures,-2
940,fainthearted,-2
941,fair,2
942,faith,1
943,faithful,3
944,fake,-3
945,fakes,-3
946,faking,-3
947,fallen,-2
948,falling,-1
949,falsified,-3
950,falsify,-3
951,fame,1
952,fan,3
953,fantastic,4
954,farce,-1
955,fascinate,3
956,fascinated,3
957,fascinates,3
958,fascinating,3
959,fascist,-2
960,fascists,-2
961,fatalities,-3
962,fatality,-3
963,fatigue,-2
964,fatigued,-2
965,fatigues,-2
966,fatiguing,-2
967,favor,2
968,favored,2
969,favorite,2
970,favorited,2
971,favorites,2
972,favors,2
973,fear,-2
974,fearful,-2
975,fearing,-2
976,fearless,2
977,fearsome,-2
978,fed up,-3
979,feeble,-2
980,feeling,1
981,felonies,-3
982,felony,-3
983,fervent,2
984,fervid,2
985,festive,2
986,fiasco,-3
987,fidgety,-2
988,fight,-1
989,fine,2
990,fire,-2
991,fired,-2
992,firing,-2
993,fit,1
994,fitness,1
995,flagship,2
996,flees,-1
997,flop,-2
998,flops,-2
999,flu,-2
1000,flustered,-2
1001,focused,2
1002,fond,2
1003,fondness,2
1004,fool,-2
1005,foolish,-2
1006,fools,-2
1007,forced,-1
1008,foreclosure,-2
1009,foreclosures,-2
1010,forget,-1
1011,forgetful,-2
1012,forgive,1
1013,forgiving,1
1014,forgotten,-1
1015,fortunate,2
1016,frantic,-1
1017,fraud,-4
1018,frauds,-4
1019,fraudster,-4
1020,fraudsters,-4
1021,fraudulence,-4
1022,fraudulent,-4
1023,free,1
1024,freedom,2
1025,frenzy,-3
1026,fresh,1
1027,friendly,2
1028,fright,-2
1029,frightened,-2
1030,frightening,-3
1031,frikin,-2
1032,frisky,2
1033,frowning,-1
1034,frustrate,-2
1035,frustrated,-2
1036,frustrates,-2
1037,frustrating,-2
1038,frustration,-2
1039,ftw,3
1040,fuck,-4
1041,fucked,-4
1042,fucker,-4
1043,fuckers,-4
1044,fuckface,-4
1045,fuckhead,-4
1046,fucking,-4
1047,fucktard,-4
1048,fud,-3
1049,fuked,-4
1050,fuking,-4
1051,fulfill,2
1052,fulfilled,2
1053,fulfills,2
1054,fuming,-2
1055,fun,4
1056,funeral,-1
1057,funerals,-1
1058,funky,2
1059,funnier,4
1060,funny,4
1061,furious,-3
1062,futile,2
1063,gag,-2
1064,gagged,-2
1065,gain,2
1066,gained,2
1067,gaining,2
1068,gains,2
1069,gallant,3
1070,gallantly,3
1071,gallantry,3
1072,generous,2
1073,genial,3
1074,ghost,-1
1075,giddy,-2
1076,gift,2
1077,glad,3
1078,glamorous,3
1079,glamourous,3
1080,glee,3
1081,gleeful,3
1082,gloom,-1
1083,gloomy,-2
1084,glorious,2
1085,glory,2
1086,glum,-2
1087,god,1
1088,goddamn,-3
1089,godsend,4
1090,good,3
1091,goodness,3
1092,grace,1
1093,gracious,3
1094,grand,3
1095,grant,1
1096,granted,1
1097,granting,1
1098,grants,1
1099,grateful,3
1100,gratification,2
1101,grave,-2
1102,gray,-1
1103,great,3
1104,greater,3
1105,greatest,3
1106,greed,-3
1107,greedy,-2
1108,green wash,-3
1109,green washing,-3
1110,greenwash,-3
1111,greenwasher,-3
1112,greenwashers,-3
1113,greenwashing,-3
1114,greet,1
1115,greeted,1
1116,greeting,1
1117,greetings,2
1118,greets,1
1119,grey,-1
1120,grief,-2
1121,grieved,-2
1122,gross,-2
1123,growing,1
1124,growth,2
1125,guarantee,1
1126,guilt,-3
1127,guilty,-3
1128,gullibility,-2
1129,gullible,-2
1130,gun,-1
1131,ha,2
1132,hacked,-1
1133,haha,3
1134,hahaha,3
1135,hahahah,3
1136,hail,2
1137,hailed,2
1138,hapless,-2
1139,haplessness,-2
1140,happiness,3
1141,happy,3
1142,hard,-1
1143,hardier,2
1144,hardship,-2
1145,hardy,2
1146,harm,-2
1147,harmed,-2
1148,harmful,-2
1149,harming,-2
1150,harms,-2
1151,harried,-2
